ABC command line: "miter ./hard-instances/BubbleSort_6_4.aig ./hard-instances/PancakeSort_6_4.aig ; sat -v".

==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|     45537 |    4565    12626 |       0    8312   159739    19.2 |  0.189 % |
|     45738 |    4565    12626 |       0    8513   165414    19.4 |  0.189 % |
|     46139 |    4565    12626 |       0    8914   175118    19.6 |  0.189 % |
|     46240 |    4565    12626 |       0    9015   177939    19.7 |  0.188 % |
|     46342 |    4565    12626 |       0    9117   180175    19.8 |  0.189 % |
|     46544 |    4565    12626 |       0    9319   184704    19.8 |  0.189 % |
|     46644 |    4565    12626 |       0    9419   187208    19.9 |  0.189 % |
|     46744 |    4565    12626 |       0    9519   189801    19.9 |  0.188 % |
|     46945 |    4565    12626 |       0    9720   195663    20.1 |  0.189 % |
|     47346 |    4565    12626 |       0   10121   206372    20.4 |  0.189 % |
|     48146 |    4565    12626 |       0   10921   228455    20.9 |  0.189 % |
|     48246 |    4565    12626 |       0   11021   230825    20.9 |  0.189 % |
|     48347 |    4565    12626 |       0   11122   233566    21.0 |  0.189 % |
|     48549 |    4565    12626 |       0   11324   238434    21.1 |  0.189 % |
|     48649 |    4565    12626 |       0   11424   240950    21.1 |  0.188 % |
|     48749 |    4565    12626 |       0   11524   243552    21.1 |  0.189 % |
|     48949 |    4565    12626 |       0   11724   248082    21.2 |  0.189 % |
|     49352 |    4565    12626 |       0   12127   259103    21.4 |  0.189 % |
|     49452 |    4565    12626 |       0   12227   261316    21.4 |  0.189 % |
|     49552 |    4565    12626 |       0   12327   263782    21.4 |  0.189 % |
|     49752 |    4565    12626 |       0   12527   268022    21.4 |  0.189 % |
|     49853 |    4565    12626 |       0   12628   270209    21.4 |  0.189 % |
|     49954 |    4565    12626 |       0   12729   272617    21.4 |  0.189 % |
|     50154 |    4565    12626 |       0   12929   278221    21.5 |  0.189 % |
|     50554 |    4565    12626 |       0   13329   286836    21.5 |  0.189 % |
|     51354 |    4565    12626 |       0   14129   306795    21.7 |  0.188 % |
|     52954 |    4565    12626 |       0   15729   350660    22.3 |  0.189 % |
|     53054 |    4565    12626 |       0   15829   352975    22.3 |  0.188 % |
|     53157 |    4565    12626 |       0   15932   355920    22.3 |  0.188 % |
|     53359 |    4565    12626 |       0    8127   133087    16.4 |  0.189 % |
|     53459 |    4565    12626 |       0    8227   135328    16.4 |  0.189 % |
|     53559 |    4565    12626 |       0    8327   137943    16.6 |  0.189 % |
|     53760 |    4565    12626 |       0    8528   142533    16.7 |  0.189 % |
|     54160 |    4565    12626 |       0    8928   151014    16.9 |  0.189 % |
|     54260 |    4565    12626 |       0    9028   153450    17.0 |  0.189 % |
|     54360 |    4565    12626 |       0    9128   155535    17.0 |  0.189 % |
|     54560 |    4565    12626 |       0    9328   158592    17.0 |  0.189 % |
|     54661 |    4565    12626 |       0    9429   161287    17.1 |  0.188 % |
|     54762 |    4565    12626 |       0    9530   163853    17.2 |  0.189 % |
|     54962 |    4565    12626 |       0    9730   168402    17.3 |  0.189 % |
|     55363 |    4565    12626 |       0   10131   177733    17.5 |  0.189 % |
|     56164 |    4565    12626 |       0   10932   198067    18.1 |  0.188 % |
|     56264 |    4565    12626 |       0   11032   200621    18.2 |  0.189 % |
|     56367 |    4565    12626 |       0   11135   203567    18.3 |  0.189 % |
|     56567 |    4565    12626 |       0   11335   208164    18.4 |  0.189 % |
|     56669 |    4565    12626 |       0   11437   210522    18.4 |  0.188 % |
|     56773 |    4565    12626 |       0   11541   213284    18.5 |  0.189 % |
|     56975 |    4565    12626 |       0   11743   218170    18.6 |  0.189 % |
|     57376 |    4565    12626 |       0   12143   228634    18.8 |  0.283 % |
|     57479 |    4565    12626 |       0   12246   230852    18.9 |  0.283 % |
|     57579 |    4565    12626 |       0   12346   234235    19.0 |  0.283 % |
|     57780 |    4565    12626 |       0   12547   238075    19.0 |  0.283 % |
|     57880 |    4565    12626 |       0   12647   242316    19.2 |  0.283 % |
|     57980 |    4565    12626 |       0   12747   245090    19.2 |  0.283 % |
|     58181 |    4565    12626 |       0   12948   250182    19.3 |  0.283 % |
|     58582 |    4565    12626 |       0   13349   262604    19.7 |  0.283 % |
|     59384 |    4565    12626 |       0   14151   281671    19.9 |  0.283 % |
|     60984 |    4565    12626 |       0   15751   322279    20.5 |  0.283 % |
|     64185 |    4565    12626 |       0   10376   188446    18.2 |  0.283 % |
|     64286 |    4565    12626 |       0   10477   191456    18.3 |  0.283 % |
|     64386 |    4565    12626 |       0   10577   193160    18.3 |  0.283 % |
|     64586 |    4565    12626 |       0   10777   198882    18.5 |  0.283 % |
|     64686 |    4565    12626 |       0   10877   201765    18.5 |  0.283 % |
|     64787 |    4565    12626 |       0   10978   203795    18.6 |  0.283 % |
|     64988 |    4565    12626 |       0   11179   209413    18.7 |  0.283 % |
|     65389 |    4565    12626 |       0   11580   218822    18.9 |  0.283 % |
|     65489 |    4565    12626 |       0   11680   221032    18.9 |  0.283 % |
|     65590 |    4565    12626 |       0   11781   223326    19.0 |  0.283 % |
|     65791 |    4565    12626 |       0   11982   228490    19.1 |  0.283 % |
|     65893 |    4565    12626 |       0   12084   231403    19.1 |  0.283 % |
|     65994 |    4565    12626 |       0   12185   233898    19.2 |  0.283 % |
|     66196 |    4565    12626 |       0   12387   238778    19.3 |  0.283 % |
|     66597 |    4565    12626 |       0   12788   249611    19.5 |  0.283 % |
|     67398 |    4565    12626 |       0   13589   268185    19.7 |  0.283 % |
|     67501 |    4565    12626 |       0   13692   270167    19.7 |  0.283 % |
|     67604 |    4565    12626 |       0   13795   273422    19.8 |  0.283 % |
|     67807 |    4565    12626 |       0   13998   279098    19.9 |  0.283 % |
|     67907 |    4565    12626 |       0   14098   281682    20.0 |  0.283 % |
|     68010 |    4565    12626 |       0   14201   283896    20.0 |  0.283 % |
|     68211 |    4565    12626 |       0   14402   288322    20.0 |  0.283 % |
|     68612 |    4565    12626 |       0   14803   298888    20.2 |  0.283 % |
|     68714 |    4565    12626 |       0   14905   301320    20.2 |  0.283 % |
|     68815 |    4565    12626 |       0   15006   303428    20.2 |  0.283 % |
|     69016 |    4565    12626 |       0   15207   307973    20.3 |  0.283 % |
|     69117 |    4565    12626 |       0   15308   310125    20.3 |  0.283 % |
|     69217 |    4565    12626 |       0   15408   312533    20.3 |  0.283 % |
|     69417 |    4565    12626 |       0   15608   317595    20.3 |  0.283 % |
|     69818 |    4565    12626 |       0   16009   327167    20.4 |  0.283 % |
|     70619 |    4565    12626 |       0   16810   346674    20.6 |  0.283 % |
|     72221 |    4565    12626 |       0    9409   142054    15.1 |  0.283 % |
|     72323 |    4565    12626 |       0    9511   144693    15.2 |  0.283 % |
|     72425 |    4565    12626 |       0    9613   147525    15.3 |  0.283 % |
|     72626 |    4565    12626 |       0    9814   152477    15.5 |  0.283 % |
|     72726 |    4565    12626 |       0    9914   154701    15.6 |  0.283 % |
|     72828 |    4565    12626 |       0   10016   156969    15.7 |  0.283 % |
|     73028 |    4565    12626 |       0   10216   162398    15.9 |  0.283 % |
|     73428 |    4565    12626 |       0   10616   171085    16.1 |  0.283 % |
|     73529 |    4565    12626 |       0   10717   173287    16.2 |  0.283 % |
|     73629 |    4565    12626 |       0   10817   175815    16.3 |  0.283 % |
|     73829 |    4565    12626 |       0   11017   180649    16.4 |  0.283 % |
|     73931 |    4565    12626 |       0   11119   183425    16.5 |  0.283 % |
|     74033 |    4565    12626 |       0   11221   185702    16.5 |  0.283 % |
|     74233 |    4565    12626 |       0   11421   190069    16.6 |  0.283 % |
|     74634 |    4565    12626 |       0   11822   200222    16.9 |  0.283 % |
|     75434 |    4565    12626 |       0   12622   220142    17.4 |  0.283 % |
|     75536 |    4565    12626 |       0   12724   222431    17.5 |  0.283 % |
|     75639 |    4565    12626 |       0   12827   224639    17.5 |  0.283 % |
|     75840 |    4565    12626 |       0   13028   229642    17.6 |  0.283 % |
|     75940 |    4565    12626 |       0   13128   232671    17.7 |  0.283 % |
|     76040 |    4565    12626 |       0   13228   234842    17.8 |  0.283 % |
|     76240 |    4565    12626 |       0   13428   239518    17.8 |  0.283 % |
|     76640 |    4565    12626 |       0   13828   249244    18.0 |  0.283 % |
|     76740 |    4565    12626 |       0   13928   251629    18.1 |  0.283 % |
|     76840 |    4565    12626 |       0   14028   254307    18.1 |  0.283 % |
|     77040 |    4565    12626 |       0   14228   258919    18.2 |  0.283 % |
|     77140 |    4565    12626 |       0   14328   262001    18.3 |  0.283 % |
|     77241 |    4565    12626 |       0   14429   264059    18.3 |  0.283 % |
|     77442 |    4565    12626 |       0   14630   268386    18.3 |  0.283 % |
|     77842 |    4565    12626 |       0   15030   280157    18.6 |  0.283 % |
|     78642 |    4565    12626 |       0   15830   300089    19.0 |  0.283 % |
|     80242 |    4565    12626 |       0   17430   345596    19.8 |  0.283 % |
|     83445 |    4565    12626 |       0   10987   197092    17.9 |  0.283 % |
|     89848 |    4565    12626 |       0   17390   336277    19.3 |  0.283 % |
|    102649 |    4565    12626 |       0   20127   404048    20.1 |  0.283 % |
|    102750 |    4565    12626 |       0   20228   406092    20.1 |  0.283 % |
|    102850 |    4565    12626 |       0   20328   407616    20.1 |  0.283 % |
|    103051 |    4565    12626 |       0   20529   412669    20.1 |  0.283 % |
|    103153 |    4565    12626 |       0   20631   414727    20.1 |  0.283 % |
|    103254 |    4565    12626 |       0   20732   417080    20.1 |  0.283 % |
|    103457 |    4565    12626 |       0   20935   421130    20.1 |  0.283 % |
|    103857 |    4565    12626 |       0   10827   158698    14.7 |  0.283 % |
|    103958 |    4565    12626 |       0   10928   160786    14.7 |  0.283 % |
|    104058 |    4565    12626 |       0   11028   162741    14.8 |  0.283 % |
|    104259 |    4565    12626 |       0   11229   166974    14.9 |  0.283 % |
|    104359 |    4565    12626 |       0   11329   169170    14.9 |  0.283 % |
|    104460 |    4565    12626 |       0   11430   171745    15.0 |  0.283 % |
|    104660 |    4565    12626 |       0   11630   176208    15.2 |  0.283 % |
|    105064 |    4565    12626 |       0   12034   186823    15.5 |  0.283 % |
|    105865 |    4565    12626 |       0   12835   208031    16.2 |  0.283 % |
|    105965 |    4565    12626 |       0   12935   210173    16.2 |  0.283 % |
|    106065 |    4565    12626 |       0   13035   212345    16.3 |  0.283 % |
|    106265 |    4565    12626 |       0   13235   217140    16.4 |  0.283 % |
|    106365 |    4565    12626 |       0   13335   219364    16.5 |  0.283 % |
|    106466 |    4565    12626 |       0   13436   221624    16.5 |  0.283 % |
|    106667 |    4565    12626 |       0   13637   225528    16.5 |  0.283 % |
|    107068 |    4565    12626 |       0   14038   235151    16.8 |  0.283 % |
|    107168 |    4565    12626 |       0   14138   237491    16.8 |  0.283 % |
|    107272 |    4565    12626 |       0   14242   239637    16.8 |  0.283 % |
|    107473 |    4565    12626 |       0   14443   244260    16.9 |  0.283 % |
|    107575 |    4565    12626 |       0   14545   247080    17.0 |  0.283 % |
|    107677 |    4565    12626 |       0   14647   249555    17.0 |  0.283 % |
|    107877 |    4565    12626 |       0   14847   254718    17.2 |  0.283 % |
|    108277 |    4565    12626 |       0   15247   265199    17.4 |  0.283 % |
|    109077 |    4565    12626 |       0   16047   285600    17.8 |  0.283 % |
|    110677 |    4565    12626 |       0   17647   323146    18.3 |  0.283 % |
|    110778 |    4565    12626 |       0   17748   325845    18.4 |  0.283 % |
|    110878 |    4565    12626 |       0   17848   327986    18.4 |  0.283 % |
|    111078 |    4565    12626 |       0   18048   333420    18.5 |  0.283 % |
|    111179 |    4565    12626 |       0   18149   335215    18.5 |  0.283 % |
|    111281 |    4565    12626 |       0   18251   337722    18.5 |  0.283 % |
|    111481 |    4565    12626 |       0   18451   342181    18.5 |  0.283 % |
|    111881 |    4565    12626 |       0   18851   351323    18.6 |  0.283 % |
|    111982 |    4565    12626 |       0   18952   353691    18.7 |  0.283 % |
|    112083 |    4565    12626 |       0   19053   355894    18.7 |  0.283 % |
|    112284 |    4565    12626 |       0   19254   359757    18.7 |  0.283 % |
|    112385 |    4565    12626 |       0   19355   361688    18.7 |  0.283 % |
|    112485 |    4565    12626 |       0   19455   363896    18.7 |  0.283 % |
|    112685 |    4565    12626 |       0   19655   368752    18.8 |  0.283 % |
|    113088 |    4565    12626 |       0   20058   377371    18.8 |  0.283 % |
|    113888 |    4565    12626 |       0   20858   395387    19.0 |  0.283 % |
|    113988 |    4565    12626 |       0   20958   397424    19.0 |  0.283 % |
|    114089 |    4565    12626 |       0   21059   399403    19.0 |  0.283 % |
|    114289 |    4565    12626 |       0   21259   403880    19.0 |  0.283 % |
|    114390 |    4565    12626 |       0   21360   405783    19.0 |  0.283 % |
|    114490 |    4565    12626 |       0   21460   408056    19.0 |  0.283 % |
|    114690 |    4565    12626 |       0   21660   412106    19.0 |  0.283 % |
|    115093 |    4565    12626 |       0   11050   159784    14.5 |  0.283 % |
|    115193 |    4565    12626 |       0   11150   161519    14.5 |  0.283 % |
|    115293 |    4565    12626 |       0   11250   164412    14.6 |  0.283 % |
|    115493 |    4565    12626 |       0   11450   168624    14.7 |  0.283 % |
|    115594 |    4565    12626 |       0   11551   170865    14.8 |  0.283 % |
|    115694 |    4565    12626 |       0   11651   173408    14.9 |  0.283 % |
|    115894 |    4565    12626 |       0   11851   178255    15.0 |  0.283 % |
|    116295 |    4565    12626 |       0   12252   186268    15.2 |  0.283 % |
|    117095 |    4565    12626 |       0   13052   207699    15.9 |  0.283 % |
|    118695 |    4565    12626 |       0   14652   242485    16.5 |  0.283 % |
|    121896 |    4565    12626 |       0   17853   319818    17.9 |  0.283 % |
|    121996 |    4565    12626 |       0   17953   323778    18.0 |  0.283 % |
|    122097 |    4565    12626 |       0   18054   326308    18.1 |  0.283 % |
|    122297 |    4565    12626 |       0   18254   331487    18.2 |  0.283 % |
|    122399 |    4565    12626 |       0   18356   333500    18.2 |  0.283 % |
|    122499 |    4565    12626 |       0   18456   335131    18.2 |  0.283 % |
|    122699 |    4565    12626 |       0   18656   340825    18.3 |  0.283 % |
|    123103 |    4565    12626 |       0   19060   349691    18.3 |  0.283 % |
|    123206 |    4565    12626 |       0   19163   352346    18.4 |  0.283 % |
|    123310 |    4565    12626 |       0   19267   355058    18.4 |  0.283 % |
|    123513 |    4565    12626 |       0   19470   359190    18.4 |  0.283 % |
|    123613 |    4565    12626 |       0   19570   362102    18.5 |  0.283 % |
|    123713 |    4565    12626 |       0   19670   364139    18.5 |  0.283 % |
|    123913 |    4565    12626 |       0   19870   370269    18.6 |  0.283 % |
|    124314 |    4565    12626 |       0   20271   378300    18.7 |  0.283 % |
|    125117 |    4565    12626 |       0   21074   397551    18.9 |  0.283 % |
|    125217 |    4565    12626 |       0   21174   400115    18.9 |  0.283 % |
|    125318 |    4565    12626 |       0   21275   402182    18.9 |  0.283 % |
|    125519 |    4565    12626 |       0   21476   406366    18.9 |  0.283 % |
|    125619 |    4565    12626 |       0   21576   408612    18.9 |  0.283 % |
|    125722 |    4565    12626 |       0   21679   410984    19.0 |  0.283 % |
|    125922 |    4565    12626 |       0   21879   415777    19.0 |  0.283 % |
|    126322 |    4565    12626 |       0   22279   425285    19.1 |  0.283 % |
|    126425 |    4565    12626 |       0   22382   427746    19.1 |  0.283 % |
|    126526 |    4565    12626 |       0   22483   430165    19.1 |  0.283 % |
|    126726 |    4565    12626 |       0   22683   434259    19.1 |  0.283 % |
|    126826 |    4565    12626 |       0   22783   436505    19.2 |  0.283 % |
|    126927 |    4565    12626 |       0   22884   438638    19.2 |  0.283 % |
|    127128 |    4565    12626 |       0   11737   172366    14.7 |  0.283 % |
|    127531 |    4565    12626 |       0   12140   181294    14.9 |  0.283 % |
|    128334 |    4565    12626 |       0   12943   200365    15.5 |  0.283 % |
|    129936 |    4565    12626 |       0   14545   235174    16.2 |  0.283 % |
|    130038 |    4565    12626 |       0   14647   238038    16.3 |  0.283 % |
|    130140 |    4565    12626 |       0   14749   240056    16.3 |  0.283 % |
|    130342 |    4565    12626 |       0   14951   244064    16.3 |  0.283 % |
|    130446 |    4565    12626 |       0   15055   246660    16.4 |  0.283 % |
|    130546 |    4565    12626 |       0   15155   249343    16.5 |  0.283 % |
|    130746 |    4565    12626 |       0   15355   253641    16.5 |  0.283 % |
|    131147 |    4565    12626 |       0   15756   262641    16.7 |  0.283 % |
|    131247 |    4565    12626 |       0   15856   264782    16.7 |  0.283 % |
|    131347 |    4565    12626 |       0   15956   266903    16.7 |  0.283 % |
|    131547 |    4565    12626 |       0   16156   271213    16.8 |  0.283 % |
|    131648 |    4565    12626 |       0   16257   273354    16.8 |  0.283 % |
|    131749 |    4565    12626 |       0   16358   275312    16.8 |  0.283 % |
|    131950 |    4565    12626 |       0   16559   280226    16.9 |  0.283 % |
|    132350 |    4565    12626 |       0   16959   288345    17.0 |  0.285 % |
|    133150 |    4565    12626 |       0   17759   304130    17.1 |  0.283 % |
|    133250 |    4565    12626 |       0   17859   305765    17.1 |  0.283 % |
|    133355 |    4565    12626 |       0   17964   307730    17.1 |  0.283 % |
|    133555 |    4565    12626 |       0   18164   311477    17.1 |  0.283 % |
|    133655 |    4565    12626 |       0   18264   313539    17.2 |  0.283 % |
|    133756 |    4565    12626 |       0   18365   315894    17.2 |  0.283 % |
|    133956 |    4565    12626 |       0   18565   320845    17.3 |  0.283 % |
|    134356 |    4565    12626 |       0   18965   329457    17.4 |  0.283 % |
|    134456 |    4565    12626 |       0   19065   331539    17.4 |  0.283 % |
|    134556 |    4565    12626 |       0   19165   333249    17.4 |  0.283 % |
|    134756 |    4565    12626 |       0   19365   338343    17.5 |  0.283 % |
|    134857 |    4565    12626 |       0   19466   340827    17.5 |  0.283 % |
|    134957 |    4565    12626 |       0   19566   343584    17.6 |  0.283 % |
